name_romaji	name_english	name_japanese	is_unverified	is_external	is_movie	is_adult	is_action	is_adventure	is_comedy	is_drama	is_ecchi	is_fantasy	is_horror	is_mahou_shoujo	is_mecha	is_music	is_mystery	is_psychological	is_romance	is_sci_fi	is_slice_of_life	is_sports	is_supernatural	is_thriller	format	status	source	episodes_amount	time_required	start_date	end_date	rating_value	rating_count	company_production	company_producer	company_creator	last_modified	file_modified_first	file_modified_last	file_modified_median	filesize_min	filesize_max	filesize_median
3-gatsu no Lion 2	March comes in like a lion Season 2	３月のライオン 2	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Manga	22	1500000	1507939200	1522454400	89	45420	44	17	44	1717370716	1713838720	1717370716	1717122413	19101	1597229	27546
30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii	Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!	30歳まで童貞だと魔法使いになれるらしい	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	true	false	true	false	TV	Finished	Manga	12	1440000	1704931200	1711584000	75	6252	41	16	41	1713722773	1709466798	1713722773	1713722773	21131	68186	29464
4-nin wa Sorezore Uso wo Tsuku	The Little Lies We All Tell	4人はそれぞれウソをつく	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	true	false	true	false	TV	Finished	Manga	11	1380000	1665878400	1671926400	68	3611	6170	6377	6170	1691444117	1709466791	1709466791	1709466791	28199	28199	28199
5-tou ni Naritai.	?	５等になりたい。	false	true	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	true	false	false	false	Movie	Finished	Original	1	4500000	813283200	813283200	68	348	0	939	939	1717371700	1717371700	1717371700	1717371700	789120	789120	789120
7SEEDS	7SEEDS	7SEEDS	false	true	false	false	true	true	false	true	false	false	true	false	false	false	true	true	true	true	false	false	false	false	ONA	Finished	Manga	12	1500000	1561680000	1561680000	62	14182	3	6787	3	1715339647	1715339647	1715339647	1715339647	28998	52735	36026
7SEEDS 2	7SEEDS Part 2	7SEEDS 2	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	false	ONA	Finished	Manga	12	1500000	1585180800	1585180800	69	7864	3	6787	3	1715408628	1715339542	1715408628	1715374085	23972	43598	35356
86: Eighty Six	86 EIGHTY-SIX	86－エイティシックス－	false	true	false	false	true	false	false	true	false	false	false	false	true	false	false	false	false	true	false	false	false	false	TV	Finished	Light Novel	11	1440000	1618099200	1624147200	82	92021	561	17	561	1717371892	1714625884	1717371892	1715998888	24407	46310	33355
86: Eighty Six Part 2	86 EIGHTY-SIX Part 2	86－エイティシックス－ 第2クール	false	false	false	false	true	false	false	true	false	false	false	false	true	false	false	false	false	true	false	false	false	false	TV	Finished	Light Novel	12	1440000	1633219200	1647648000	86	56311	561	17	561	1714625901	1714625901	1714625901	1714625901	22445	35593	33305
91Days	91 Days	91Days	false	true	false	false	true	false	false	true	false	false	false	false	false	false	false	true	false	false	false	false	false	false	TV	Finished	Original	12	1440000	1468022400	1475280000	76	61549	6071	109	6071	1714233914	1714233914	1714233914	1714233914	30479	58741	49170
A-Channel	A-Channel	Aチャンネル	false	true	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	TV	Finished	Manga	12	1440000	1302220800	1308873600	66	7791	418	17	17	1717372425	1717372425	1717372425	1717372425	36739	44621	42402
A.I.C.O. -Incarnation-	A.I.C.O. -Incarnation-	A.I.C.O. -Incarnation-	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	ONA	Finished	Original	12	1440000	1520553600	1520553600	62	11647	4	23	4	1717372672	1709466804	1717372672	1713419738	27578	69483	35029
